reviewerID,asin,overall,reviewText
A3D3DJKKMLCRYZ,B00CM9JIZ0,5.0,"I admit, I have a hard time accepting when members of a band are replaced. Often, the chemistry is just not the same. The parting members are usually extremely talented and key to what makes a band who they are.But then there are times where the person coming in is like a new friend or lover, who replaced the one who changed so much you're not certain who they are anymore. In the case of Geoff Tate, it's like watching the person who was the poetry loving girlfriend who prided herself on her intelligence and moral character cheat on you with some crackhead.Now, I don't think either side is being quite honest about what went wrong and who's to blame. Each claims they wrote all the music, except for that which sucked, of course. And it's hard to believe the QR camp thinks it's entirely Geoff Tate's fault when Rockenfield is saying he wants to play with Lady Gaga. I'm not hating on Gaga, just stating that it's more than Geoff who had non prog metal tastes.But when Todd La Torre comes into my life and brings back those feelings I got from the early days of Queensryche, I'm left feeling a little guilty. Don't get me wrong, I'm not against change and I'm not one of those people who thought everything post Empire (or whichever album you think QR started sucking at was)was a waste of time.Still, more recent releases have lacked the poetry of earlier QueensRyche, both lyrically and musically. I don't think I've heard guitar solos as beautiful as what I hear from Michael and Parker on this disc. Scott's drums are amazing and Eddie's bass playing is spectacular.But what elevates the disc is Todd's singing. Yes, it's clear he's here to do his best Tate impression, which is a little weird at times. But you can also hear his own identity, and what he does is incredible.I have personal favorites, such as Redemption, In this Light and Open Road. But the whole disc is amazing. In fact, this is the disc everyone wanted Queensryche to make.Everyone, that is, except Geoff Tate.If you listen to both his solo release and his version of QR, you can still here his genius. The solo disc especially, makes you wish things were back how they were, and that he wasn't trying to be gangsta in places. Yes, change is good, but not when you sink to that low a level.In the meantime, I'll be plagued with guilt every time I listen to this CD, all while loving every minute of it."
A3G53OSKOX59AM,B00CM9JIZ0,5.0,"I have been a Queensryche fan since the early 80's (The Warning) (Rage For Order) . But when Operation Mind Crime came out it became one of my top 5 albums of all time. I love good music and it is hard to have a favorite # 1.  This new CD is simply awesome. It sounds a lot like there classic stuff and also an Empire sound to it. But at the same time it does not sound dated at all. The new lead singer sounds great. And lets face it Geoff Tate's vocals have gone down hill now for a while. And his solo stuff oooouch, not so great.I just hope this new CD is the first of many great things to come from this awesome band. Even a live CD would be very cool.So I gave this great CD a much deserved 5 star rating. So if you are reading this and have not yet purchased the new Queensryhe....... buy it!Dano"
A2YKU5ZJSDLREO,B00CM9JIZ0,4.0,"Hate to jump on the Geoff Tate hate band wagon, but this is much better than his version of queensryche. Sort of reminded of a updated metal version of Empire with a touch of operation mind crime or rage of order very cool! The lead singer is amazing I really can't tell him or Geoff Tate apart which is a good thing. Very cool album, definitely going to have repeat listens. Cant wait to see what they do next. The new singer has put much needed energy into the band!"
A2RU345NAZ6KL5,B00CM9JIZ0,4.0,"Some may say that with this album Queensryche are trying to duplicate their past glories, attempting to recapture their sound from 25 years ago - as if it were some sort of pejorative.  On the contrary, that is what the majority of their fans have been missing over the past couple of decades.  The mediocre midtempo dad-rock foisted upon the fans during the Tate-led Queensryche era resulted in ever-decreasing album and ticket sales over time.Thankfully, this album *is* a return to form for Queensryche. The \"signature sound\" is in full effect here.  Harmony leads are back in abundance.  Soaring operatic vocals courtesy new vocalist Todd La Torre.  The rhythm section is in prime form, charging through the songs as if their lives depended on it.I won't do a track-by-track breakdown, but this album would fit comfortably in the Rage for Order - Promised Land timeline. There's a couple of tracks that are on the average side, but by and large the songs are top notch.  The claim that Rockenfield, Jackson, and Wilton were incapable of bringing anything to the songwriting table is proven on this album to be hollow and without merit.Some criticisms have been leveled at Todd La Torre for being a Tate clone.  He has said all along that Tate was one of his primary influences.  And he's being backed by 3/4 of the original musicians.  So it's not a huge surprise that yeah, at times he sounds like Tate - though Tate from 20 years ago (which is a far cry from the shell of a vocalist he has become after years of smoking and drinking).  This is not a bad thing - do people really want another Blaze Bayley that can't do the classic material justice?  But La Torre is by no means aping Tate's mannerisms throughout.  He brings his own style to the table, and it's a welcome change from the nasally vocals that defined QR's output over the past decade.Now for criticisms.  The album is too short - some of my favorite QR songs in the past were the longer, more epic tracks like Suite Sister Mary and Roads to Madness.  Nothing here clocks in over 4 minutes and change.  On more than one occasion a song ends just as it is really getting going.  I realize there is wisdom in leaving the audience wanting more, but at the same time it almost feels artificially short.  And the \"brick wall\" mastering is overwhelming at times - though sadly very very few bands have any say in the mastering process.But overall, this is the album I was hoping Queensryche would put out ever since my disappointment with Hear in the Now Frontier.  Finally, after 15+ years of waiting and hoping, they have delivered."
AJGDQWXZ3VPAI,B00CM9JIZ0,4.0,"** After several listens, I could clearly hear the clipping and static that some others have mentioned. It doesn't ruin the album but it does subtract from what is otherwise a near perfect album. I changed my rating to 4 stars.**Wow.Here's the most important part of this review... Even if this CD were made by some random band that I had never heard of, after the first listen I would be wondering \"who is this? This kicks ass!\"With all of the crazy stuff that's been going on with Queensryche over the past year or so, you would expect them to put out some rushed, half assed collection of songs that had either been sitting on the shelf or written by outside writers. But instead, somehow inbetween shows, they went into the studio and got to work creating not only their best CD in years but one of their best CDs EVER.The unexpected thing about these songs is that although they don't sound like rip offs of older songs, they sound almost like new companion pieces to other albums. Certain songs have a darkness to them that are clear reminders of Promised Land. Other sections are very reminiscent of Rage For Order (and I don't say that lightly... RFO is a masterpiece of atmosphere and complexity.) \"In This Light\" has the catchiest chorus of anything since Empire, it grabbed me the first time that I heard the teaser for this album. But there's a sense of urgency to \"Fallout\" and \"Don't Look Back\" that although may remind some of very early Queensryche, it also sounds like something from a completely new band. I don't know what to compare \"Vindication\" to, but it's a high point of the album. That bass line jumps at you and the angelic chorus is the perfect counterpoint to the relentless heaviness of the song.If you haven't heard the streamed version of this album, well... where have you been? The band was cool enough to invite you to hear the whole damn thing for FREE. But even then, I thought that every song was fantastic... EXCEPT the first teaser track \"Redemption.\" The chorus is perfect but the bridge is just clumsy and slows down the whole momentum of the song. I thought that the song was okay until I heard the rest of the CD. Everything else here is MUCH better.Two things that surprised me. First, the lyrics are very well written (isn't that supposed to be why they needed Geoff so much?)  At first listen \"A World Without\" just sounds like a moody dark track, but when you read the lyrics you begin to understand the powerful subject matter. They don't dumb it down, you have to put together the pieces and visualize each line before it becomes clear. Once you do, \"Midnight Lullaby\" isn't just an interlude, it's a necessary introduction to the story that you're about to hear. Secondly, Scott has become a MONSTER drummer. He's always been great, but there are so many flourishes and fills here and there that truly take every song to another level. It's not to the point that it gets in the way of the other instruments, it's just enough to make you say \"Holy crap, how many hands does this guy have??\"As for Todd, I'll admit, when I saw the first You Tube videos of his performances, I wasn't blown away. I mean let's face it, vintage Geoff Tate is a hard act to follow. But then I saw a quote from Michael Sweet, basically vouching for Todd's vocal abilities. If the voice of Stryper is impressed, then I had to have an open mind. Todd shines on this CD. On certain songs he sounds amazingly close to Geoff Tate (the chorus of \"Don't Look Back\" sounds like American Soldier era Tate), but on other tracks, he most definitely brings something else to the table. He sounds better ever time that I hear him. And the fact that he writes lyrics, and they are better than the crap that Tate has been spewing out lately, is just icing on the cake. He's a good fit for the band.Speaking of song writing, there's one last thing that needs to be addressed. Ever since Tate was kicked out of this band, there's been an ongoing controversy about who had written the classic Queensryche songs. Everyone knows that Chris Degarmo was a major piece that will forever be missed, but for anyone that's doubting the input of Michael, Ed and Scott, here's an excerpt from the November 1990 issue of Guitar World magazine. Chris DeGarmo is discussing the origin of the song \"Resistance\" from Empire:\"Michael had a real cool, aggressive piece of music. He played this thing for me and I helped arrange it... It only took a second for Scott 'One Take' Rockenfield to blaze off his track.... We communicate very thoroughly on song ideas before we record them.\"Queensryche is a band. When you read the song writing credits in the liner notes, that's mainly the people that are responsible for the lyrics and melody. If you think that Geoff Tate was writing Scott's drum parts on Mindcrime, listen to the drums on Tate's \"F.U\" album verses the drums on this CD. Then listen to the bass lines. Then listen to the guitars. There's a reason why Tate recently stated that he doesn't \"know what the Queensryche signature sound is.\"Mister Tate, THIS is the signature Queensryche sound. It's a damn shame that you couldn't be a part of it. But I think that the rest of the band just reassured us that we'll be fine without you."
A1WJWKSDV2FAAB,B00CM9JIZ0,5.0,"Queensryche is back with a vengeance on this new release without original vocalist Geoff Tate. The band is seemingly trying to get back to the glory days and have an excellent sound very reminiscent of the 80's and early 90's. In my opinion, this is a breath of fresh air and shows their is life, talent, and good songwriting without Tate (never thought I would say that). The band seems to enjoy playing and being together again, which even makes them fun to listen to again. It's hard at this time to list favorite songs, since after 4 listenings I still like them all. If you're an old fan you will love it, unless you are more of a Tate fan. 9 out of 10 of my friends prefer this over the Tate release. Listen to the samples and make your choice."
AAL3F8EW8DUHQ,B00CM9JIZ0,5.0,"Man i couldn't wait to run out and buy this Album as soon as it was released. This is the most excited i have been about going out and purchasing an Album since Symphony X,s Iconoclast Album that came out 2 years ago.This is a true Reinvigeration of the band. This is classic Queensryche right here. The songs on here are Powerful, Dynamic, And Intense. This is the Queensryche that you grew up with, This is the Queensryche that you love. And the band is making a statement on this Record saying we are back and thanks for being patient with us.The Album itself is short in length. it clocks in at around 35 Minutes, But the songs are Excellent and the flow is Superb.Standout tracks on here are Where Dreams go to Die, Redemption, And Fallout.Queensryche are back. Thank God. This is a Fantastic Album."
A1BPZI5LWM1T7R,B00CM9JIZ0,5.0,"Great music by Queensryche,As you may or may not know there are 2 bands called Queensryche or something that looks like the very same,Not going to get into the personal aspects of the reason but Both bands are at the top of My chart.So dont flame either band,Embrace the great music!"
A2991AJVD21VLN,B00CM9JIZ0,4.0,"Have you asked yourself what the hell has happened to queensryche in the last 10 or more years?This record should answer that......it was Geoff! They get rid of him, put out a great record, that should answer all your questions about there feud. Oh, and guess what.....IT SOUNDS LIKE QUEENSRYCHE!How many years has it been since you've been able to say that?Hats off to Wilton, Jackson, Rockenfield, and La Torre,....#23 on the Billboard top 200 .........with out Geoff. LOL!!!"
AN8WCREEAS932,B00CM9JIZ0,4.0,"I saw that Todd Latorre joined Queensryche after a weird messy break-up with Geoff Tate.  Tate has his own Q'ryche and then there's this version, the Todd Latorre fronted Queensryche.  All that mess aside, the Latorre version of Queensryche kicks ass!  It has a great older feel to it but the songs are new and fresh.  The band sound rejuvenated and cleaner than they have on albums in years.  For fans of the band, stick with the Latorre front version as the Tate version has taken the train to crazy town.  For actual Queensryche music this is the album to hear, good stuff all around."
A1R6A4KEUXV3JD,B00CM9JIZ0,4.0,"Queensryche - Self TitledWritten by The Rock ManOver the course of the past several years, opinions between some sections of the media, music journalists and fans have been divided over the quality of work produced by progressive metal icons Queensryche. Their past two studio recordings American Soldier (2009) and Dedicated To Chaos (2011) have taken quite a beating by some. I for one a fan of both. Given the recent turmoil in the band causing the departure of vocalist Geoff Tate and his own release of a Queensryche album, Frequency Unknown, the world has waited patiently for \"The Original Queensryche\" to respond with a release of its own. Well rock fans here it is.The three remaining original members, Michael Wilton - lead guitar, Eddie Jackson - bass and Scott Rockenfield - drums have joined with Crimson Glory vocalist Todd La Torre and Sledgeback guitarist Parker Lundgren to record a new album simply titled Queensryche. And what an album it is. In its time the band have acquired a massive armoury of quality material and Queensryche can stand proudly along side all of them.A strong feature of any Queensryche album is the bass playing from Eddie Jackson and on this latest recording that feature continues. Scott Rockenfield continues to push the boundaries of his playing with a bold, innovative style and on this record sounds refreshed and full of enthusiasm. Michael Wilton, as always, displays his ability as a master axe man with amazing melodies and technique and on Queensryche raises the bar of his own standards.Vocally Todd La Torre puts in an outstanding performance on his first Queensryche outing, sounding very much like the man he replaced, Geoff Tate and at times Nils K. Rue from Pagan's Mind. I know these thoughts will upset all the Geoff Tate haters who are circling for his blood, but that's how I heard it, and that is a good thing, they still sound like the Queensryche I grew up listening to and not some sad, pale imitation.The album opens with X2 an Operation Mindcrime style intro before launching into Where Dreams Go To Die. From there the album forges ahead with Spore and In This Light which took me back to the early to mid 1990s. Redemption is classic Queensryche, enough said. Vindication could have easily been a throw away from the Rage For Order album, while towards the back end of the record you have power tracks Don't Look Back and Fallout. The album draws to a close with Open Road, a big time ballad.All round Queensryche is a very enjoyable listen and enhances the band's legacy. Debate will continue to rage over whether this offering is better that the Geoff Tate recording, you may have your own view, for mine I think they are equal and both do the Queensryche brand justice.SCOTT ROCKENFIELD INTERVIEW ONLINE NOW AT FULL THROTTLE ROCK!"
A2A0FBLKJN4ZY5,B00CM9JIZ0,4.0,"It's obvious since 1994's Promise Land that Queensryche have been in an alternative, straight ahead rock sort of slump. And when Degarmo left that just made things ten times worse by putting Tate(r) at the helm. Tate began chain smoking after Operation Mindcrime and he crippled his voice down through the years and it shows. A real shame for a former hero of mine, and many others. Now it sounds like a frog is living in his larynx and will never pop out. Also if he wasn't such a jerk people wouldn't mind either, but enough about that bald egomaniac. This album is spectacular in every way shape and form. Except for the fact they leaving you wanting more, because of the short length of the tracks and album overall. Which is small potatoes.Todd La Torre was a great, and actually very strange choice. He was originally a drummer for 24 years, and also played various other instruments but was never \"really\" in a signed band. He was only with Crimson Glory for not even 3 years and didn't even record with them. So this is his first studio vocal effort. And he does a superb job. Getting James \"Jimbo\" Barton back, who produced Empire, Mindcrime, and Promise Land was a brilliant idea, for getting that good old Queensryche sound back again. The first song \"Where Dreams Go To Die\", harkens of old Rage For Order Days, then skews off into the days of \"Empire\" with it's catchy chorus and great guitars. Most songs follow suit and all have great catchy choruses that stick in your head, which is what music needs today. No matter what kind it is.Spore is a brilliant song with definitely has the Rage for Order vibe to it, \"In This Light\" is a great ballad type track that really shows off the diversity of La Torre's pipes, and proves he's every bit of the singer Geoff \"Jester\" Tate once was. Redemption is as Empire as you can get, and really sounds like a bonus track from that album, and if it was 1990, would be all over the air waves. To bad we don't live in that great time period anymore. Vindication is a great Mindcrime type song is which La Torre talks about conquering all, and that they did. The great underrated track to me is \"A World Without\", which gives La Torre a chance to sing in that low Tate type voice we all \"use\" to know and love, and now we can again. This song resembles the actual song \"Promised Land\", only about 4 minutes shorter. And has a great moody, dark vibe about it. This song actually gets stuck in my head more than any other. For some odd reason. Don't Look Back, (and they won't), is a great straight forward fast Mindcrime type song, that much resembles \"The Needle Lies\", \"Speak\", and \"Spreading The Disease\", and does one kick A#$ job at it. I must say the songs are produced just like they were back then.If there is a weak track it would probably be \"Fallout\", which is still a good song, with a great chorus and Empire type vibe. Not close to bad, but just not my personal favorite. The last song, being the major ballad of course is Open Road. This song is a beauty, and has all the great making of the future and past of Queensryche. Many people might consider La Torre a clone but he does have is own sound, and variety of singing. Also a lot of dynamics. He also brings back the aggression on many tracks that hasn't been there in 25 years. And I honestly don't see how Rockenfield and the gang put up with it for so long. They couldn't have been happy. Now after all these years we have back a new a refreshed/charged band that sounds like they did nearly 30 years ago. Also i shouldn't neglect to mention that in an interview i listened to La Torre said they are working on their next album already! So that's what they are doing with all the new material they said was just laying around. I'm ready for more of this, and longer songs, which i'm sure we all are. This is a great taste of what's to come. And even though we live in a world where hight range vocalists are not \"in style\", that doesn't matter. I believe the next album will hit even harder. And they will legally get the name, which they so deserve. Your days are over Geoff, go join Hetfield in the retirement home. Not because you guys are old but because you turned into self absorbed money grubbing freaks. These guys are keeping it real, and now success is theirs for the taking. ;o)Minus one star for wanting MORE!!! ha"
A20ZDV9ZEESN5K,B00CM9JLI4,2.0,I guess the contract mandated that a CD be produced by Tiesto and presto chango one was.I have every In Search Of Cd from Tiesto and Vol. 1 of Club Life along with other Tiesto centric music.  All of which I like to varying degrees but all of which are worthwhile and are the source of some of my favorite music.  This on the other hand seems to be a hastily assembled group of songs that have no relation to each other and represent a most uninspired collection.  There is no risk taken and very little creativity.I genuinely regret purchasing this CD.
AS472HC9PVUAL,B00CM9JLI4,5.0,"Wow i was actually thrilled i got this one by tiesto as I'm gonna go see him live at Hard and he's got a lot of great songs on this compilations, what a legend"
A3FFN5BMXAQK2F,B00CM9JLI4,1.0,"I dont care how successful Tiesto may seem from the outside, truth is the quality of music has taken a back seat for the worst and the troubling fact is that his current fan base continues to decline as his own music. Read the comments and realize how retarded they sound, as if coming from 13 year old kids who not only can't spell but offer no real insight as to why they think the album is great besides a simple \"Wohooo welcome to stockholm everyone and yep he did it again\" I cant bash Tiesto for not producing the type of music i enjoy, he simply isnt that type of quality producer, actually I even question whether he has ever produced his own music. Have you ever seen him in his own studio on Future Music? NO! Have you ever seen him in ANY youtube video producing music or a tutorial with him in the studio? NO! Besides an ancient Greek video produced way back in 2003 on another day at the office, fact is Tiesto pays people to produce his music and garbage at that.Go to In search of sunrise 11 by Richard Durand and realize what a real review look like by PDX and compare what these teenage brats have to say here, its sickening.As for the music, i burned it from my MOG subscription and really couldnt fathom getting past the 4th song. Besides the fact that hardstyle techno is simply not for me, I wont base my review on that but rather that every song sounds absolutely idententical, same leads, riffs and basslines and near identical vocals on everything. No gambles, no Risks and no creativity were taken upon completion of this record. The intro sounds exactly like Vol. 2 Miami and the mixing is nowhere near what he used to put out specifically on ISOS 4. I almost feel this guy is an imposter, a mere shell of the DJ he used to be back then. However Tiesto will continue to be selling out shows and albums for the same reason people continue to buy outdated devices like the Iphone, IGNORANCE! Its all about the system and business he has in place. Make people believe he produces his own music, travel the world put your hands up in the air for 2 hours collect thousands and do it again the next day in a different country to clueless people. He has figured it out and i have to respect him for getting the best out of his fans and the system, he found a way to beat it and you cant hate on a guy like that. However his music is a different story!"
A3TZPFE4D41S0V,B00CM9JM2Y,4.0,Great fun to hear beloved McCartney songs from different eras sung by some of country's best singers. Sit back and enjoy!
A7I3WFZE31KAZ,B00CM9JM74,1.0,... and you'll be black-out drunk halfway through the album. Freud would have a field day with their lyrics. I enjoyed their last album as it had a lot more groove. This album is more straight up metal with little substance. Very disappointed.
A30CJXMYKXWBKR,B00CM9JM74,5.0,"This album is definitely worth the purchase.  Their previous album &#34;Outlawed&#34; was very good, but this album seems like it is even better."
A1SIXWNSEDP9LT,B00CMB8MXC,5.0,"My son (& maybe myself too) love the song Happy by Pharrell. This cd has it plus some other fun, kid-friendly tunes. He was thrilled when I surprised him with it."
AAGTL3PJ7GHXO,B00CMB8MXC,4.0,"I bought this CD because the song &#34;Happy&#34; was on it and I'd heard it on tv on some show & loved it.  Figured I'd also love other songs on the CD as well, even though I hadn't seen either of the Despicable Me movies.  Well, bought the movie as well and enjoyed it to a point, but it did help me enjoy the CD a bit more because I could then picture what was happening in the movie while listening to the music.  Now there are several songs on the CD I enjoy."
A2WSUPXL63TID6,B00CMV8426,5.0,"I am sooo impressed with this cd!  I have been following Sharon and The Daps forawhile and hands down, this is their best collection of songs. Their sound has alwaysbeen inspired by 60's soul, but the songwriting here takes you there now too.What can I say about Sharon's voice! She is showing a vulnerability on &#34;Slow Down,Love&#34; that makes me wish they continue to put more slower material in their repertoire.I recently read an interview where Sharon stated she was deeply disappointed with theGrammy Awards for not recognizing her bands merit. I totally agree!  You have to havetrue love and understanding of how wonderful soul music is to create the beautiful masterpiecethis is. There is no filler, everything fits perfectly!  I will be wearing this disc out!"
A2TOLQWF59YZON,B00CMV8426,5.0,"The more I listen, the more I want to listen & the more I like it & Many I just LOVE. Do yourself a favor, Buy it !!!! In retrospect however, I would buy the Deluxe CD & get the free Rip; but I didn't want to wait.... !"
A2YJ1K8M0KPHMF,B00CMV8426,4.0,"Retro and brilliant.  Band's execution is flawless and studio mixing is smart.  No autotune that I can hear.  There's actual bass in the tracks and little to no compression.A couple of tracks dont quite work completely, but there's too many winners for it to matter,"
A2VBFV0XEY04KZ,B00CMVWOCM,3.0,"I really like their other two albums, but this one seemed to be missing the blockbuster appeal of some of the other big tracks they've done."
A2U7DXDNYBBLQJ,B00CMVWOCM,4.0,"This album, for me, sits between a 3 and a 4. The primary reason for that is that the middle of this otherwise brilliant album is rather rough. Then again, as a sarcastic device aimed at today's popular music scene, it may be that way on purpose. The fact is that these three continue to bring some serious laughs in a (mostly) listenable way. If you hate the actual sound of the pop music scene altogether, then this album may fly right over your head. But if it's mainly the mindless lyrical content plaguing the sound which enrages you, then I think you'll adore this disc. There are some clear attempts here at giving fans more of what they love from each of their previous albums as well. And with guestspots as random and bewildering as Too $hort and Hugh Jackman, it must be heard to be believed. Comedy is a rough sell after a few albums, as you could easily tell by the high volume of 3's given by the older fans. But keep in mind that this is satirical. You're supposed to somewhat despise yourself for enjoying the sounds to be found on this album. Give it a shot though. The Lonely Island is far from running out of steam. And the majority of this cd proves that."
A2GG2IHXMVIH77,B00CMYRLV8,5.0,Another excellent album from the Hillsong franchise. I didn't buy the record here because a large competitor to Amazon has 6 videos for about the same price.
